date,sentimentScore,niftyIndexChange,niftyIndex
2019-02-05,-0.17818993055555554,=C363-C364,10934.35
2019-02-04,-0.17514290780141847,=C364-C365,10912.25
2019-02-01,-0.09980604982206415,=C365-C366,10893.65
2019-01-31,-0.19142500000000004,=C366-C367,10830.95
2019-01-30,-0.15249962962962965,=C367-C368,10651.8
2019-01-29,-0.12697509293680292,=C368-C369,10652.2
2019-01-28,0.046388104089219326,=C369-C370,10661.55
2019-01-25,-0.09989622641509431,=C370-C371,10780.55
2019-01-24,-0.1645247191011237,=C371-C372,10849.8
2019-01-23,-0.19429607843137256,=C372-C373,10831.5
2019-01-22,-0.12458129496402875,=C373-C374,10922.75
2019-01-21,-0.08250603773584904,=C374-C375,10961.85
2019-01-18,-0.16701689655172405,=C375-C376,10906.95
2019-01-17,-0.09771273408239706,=C376-C377,10905.2
2019-01-16,-0.10375435540069691,=C377-C378,10890.3
2019-01-15,-0.11245072463768115,=C378-C379,10886.8
2019-01-14,-0.09343829787234044,=C379-C380,10737.6
2019-01-11,-0.13820243055555562,=C380-C381,10794.95
2019-01-10,-0.1555716363636362,=C381-C382,10821.6
2019-01-09,-0.1031675958188153,=C382-C383,10855.15
2019-01-08,-0.18048322147651016,=C383-C384,10802.15
2019-01-07,-0.16883999999999988,=C384-C385,10771.8
2019-01-04,-0.1526507462686567,=C385-C386,10727.35
2019-01-03,-0.11624930555555554,=C386-C387,10672.25
2019-01-02,-0.11672945205479462,=C387-C388,10792.5
2019-01-01,-0.08751607142857147,=C388-C389,10910.1
2018-12-31,-0.09258000000000009,=C389-C390,10862.55
2018-12-28,-0.14756212121212112,=C390-C391,10859.9
2018-12-27,-0.11145281173594146,=C391-C392,10779.8
2018-12-26,-0.10610839506172841,=C392-C393,10729.85
2018-12-24,-0.11263599999999997,=C393-C394,10663.5
2018-12-21,-0.1605784366576821,=C394-C395,10754.0
2018-12-20,-0.1302649616368288,=C395-C396,10951.7
2018-12-19,-0.1386120111731843,=C396-C397,10967.3
2018-12-18,-0.060098214285714255,=C397-C398,10908.7
2018-12-17,-0.11771253263707573,=C398-C399,10888.35
2018-12-14,-0.09474623115577901,=C399-C400,10805.45
2018-12-13,-0.07358738317757008,=C400-C401,10791.55
2018-12-12,-0.08951218274111673,=C401-C402,10737.6
2018-12-11,-0.13575279999999995,=C402-C403,10549.15
2018-12-10,-0.09797777777777786,=C403-C404,10488.45
2018-12-07,-0.1281345000000001,=C404-C405,10693.7
2018-12-06,-0.16954959568733158,=C405-C406,10601.15
2018-12-05,-0.12918356545961016,=C406-C407,10782.9
2018-12-04,-0.10490320197044346,=C407-C408,10869.5
2018-12-03,-0.1073662500000001,=C408-C409,10883.75
2018-11-30,-0.1277787798408488,=C409-C410,10876.75
2018-11-29,-0.1509106537530267,=C410-C411,10858.7
2018-11-28,-0.13639834710743806,=C411-C412,10728.85
2018-11-27,-0.10403454545454555,=C412-C413,10685.6
2018-11-26,-0.1406630890052355,=C413-C414,10628.6
2018-11-22,-0.1678780678851175,=C414-C415,10526.75
2018-11-21,-0.11215916666666662,=C415-C416,10600.05
2018-11-20,-0.1351160104986878,=C416-C417,10656.2
2018-11-19,-0.08750069605568447,=C417-C418,10763.4
2018-11-16,-0.15346368159203982,=C418-C419,10682.2
2018-11-15,-0.11323509749303622,=C419-C420,10616.7
2018-11-14,-0.1636986301369863,=C420-C421,10576.3
2018-11-13,-0.09567084398976992,=C421-C422,10582.5
2018-11-12,-0.13718670212765968,=C422-C423,10482.2
2018-11-09,0.005208291457286445,=C423-C424,10585.2
2018-11-07,-0.05317715736040606,=C424-C425,10598.4
2018-11-06,-0.013024533333333308,=C425-C426,10530.0
2018-11-05,-0.06747506925207772,=C426-C427,10524.0
2018-11-02,-0.054977551020408084,=C427-C428,10553.0
2018-11-01,-0.11790964467005091,=C428-C429,10380.45
2018-10-31,-0.10704332493702758,=C429-C430,10386.6
2018-10-30,-0.13150382653061235,=C430-C431,10198.4
2018-10-29,-0.12364893048128349,=C431-C432,10250.85
2018-10-26,-0.1426866498740555,=C432-C433,10030.0
2018-10-25,-0.1093281653746772,=C433-C434,10124.9
2018-10-24,-0.17090294117647076,=C434-C435,10224.75
2018-10-23,-0.1317779487179487,=C435-C436,10146.8
2018-10-22,-0.1865751256281409,=C436-C437,10245.25
2018-10-19,-0.10160695876288679,=C437-C438,10303.55
2018-10-17,-0.13557656250000005,=C438-C439,10453.05
2018-10-16,-0.08459558139534891,=C439-C440,10584.75
2018-10-15,-0.08107651515151541,=C440-C441,10512.5
2018-10-12,-0.12441604938271614,=C441-C442,10472.5
2018-10-11,-0.06533219895287957,=C442-C443,10234.65
2018-10-10,-0.11158707124010556,=C443-C444,10460.1
2018-10-09,-0.14301147540983616,=C444-C445,10301.05
2018-10-08,-0.10149427792915533,=C445-C446,10348.05
2018-10-05,-0.1105395225464191,=C446-C447,10316.45
2018-10-04,-0.1443436031331592,=C447-C448,10599.25
2018-10-03,-0.1455837905236908,=C448-C449,10858.25
2018-10-01,-0.10324458438287167,=C449-C450,11008.3
2018-09-28,-0.11887630662020901,=C450-C451,10930.45
2018-09-27,-0.12262113022113022,=C451-C452,10977.55
2018-09-26,-0.13600204081632675,=C452-C453,11053.8
2018-09-25,-0.10788134715025928,=C453-C454,11067.45
2018-09-24,-0.12298994708994716,=C454-C455,10967.4
2018-09-21,-0.18409304812834226,=C455-C456,11143.1
2018-09-19,-0.14951650246305426,=C456-C457,11234.35
2018-09-18,-0.09177128463476078,=C457-C458,11278.9
2018-09-17,-0.11907384615384611,=C458-C459,11377.75
2018-09-14,-0.12695725000000002,=C459-C460,11515.2
2018-09-12,-0.12895795148247988,=C460-C461,11369.9
2018-09-11,-0.1250027638190955,=C461-C462,11287.5
2018-09-10,-0.1083859740259741,=C462-C463,11438.1
2018-09-07,-0.12780174129353242,=C463-C464,11589.1
2018-09-06,-0.10421604938271607,=C464-C465,11536.9
2018-09-05,-0.09991873350923491,=C465-C466,11476.95
2018-09-04,-0.08483244680851067,=C466-C467,11520.3
2018-09-03,-0.10854068767908301,=C467-C468,11582.35
2018-08-31,-0.12070621890547267,=C468-C469,11680.5
2018-08-30,-0.13769787798408492,=C469-C470,11676.8
2018-08-29,-0.04366940874035989,=C470-C471,11691.9
2018-08-28,-0.06928804071246819,=C471-C472,11738.5
2018-08-27,-0.007416020671834612,=C472-C473,11691.95
2018-08-24,-0.10809703504043132,=C473-C474,11557.1
2018-08-23,-0.15284795640326984,=C474-C475,11582.75
2018-08-21,0.005854145077720188,=C475-C476,11570.9
2018-08-20,0.012187468671679212,=C476-C477,11551.75
2018-08-17,0.04555295566502464,=C477-C478,11470.75
2018-08-16,-0.06452295514511873,=C478-C479,11385.05
2018-08-14,-0.08858506666666657,=C479-C480,11435.1
2018-08-13,-0.05887468671679209,=C480-C481,11355.75
2018-08-10,-0.12600521978021983,=C481-C482,11429.5
2018-08-09,-0.13924747474747484,=C482-C483,11470.7
2018-08-08,-0.16007713567839196,=C483-C484,11450.0
2018-08-07,-0.10836878172588844,=C484-C485,11389.45
2018-08-06,-0.07566608910891096,=C485-C486,11387.1
2018-08-03,-0.1288013623978201,=C486-C487,11360.8
2018-08-02,-0.18763097826086955,=C487-C488,11244.7
2018-08-01,-0.13840521541950102,=C488-C489,11346.2
2018-07-31,-0.07442888349514575,=C489-C490,11356.5
2018-07-30,-0.11402208121827415,=C490-C491,11319.55
2018-07-27,-0.14952375979112267,=C491-C492,11278.35
2018-07-26,-0.18073260273972605,=C492-C493,11167.3
2018-07-25,-0.14669156327543437,=C493-C494,11132.0
2018-07-24,-0.1600490338164251,=C494-C495,11134.3
2018-07-23,-0.10490668449197874,=C495-C496,11084.75
2018-07-20,-0.18551428571428566,=C496-C497,11010.2
2018-07-19,-0.11912084432717683,=C497-C498,10957.1
2018-07-18,-0.1924551912568307,=C498-C499,10980.45
2018-07-17,-0.1082116580310881,=C499-C500,11008.05
2018-07-16,-0.1236130790190735,=C500-C501,10936.85
2018-07-13,-0.1916949468085105,=C501-C502,11018.9
2018-07-12,-0.11692241379310331,=C502-C503,11023.2
2018-07-11,-0.13797626262626259,=C503-C504,10948.3
2018-07-10,-0.09619386189258317,=C504-C505,10947.25
2018-07-09,-0.14092578947368423,=C505-C506,10852.9
2018-07-06,-0.10341520190023752,=C506-C507,10772.65
2018-07-05,-0.12739597855227874,=C507-C508,10749.75
2018-07-04,-0.12111030927835062,=C508-C509,10769.9
2018-07-03,-0.12495813953488369,=C509-C510,10699.9
2018-07-02,-0.15423166226912938,=C510-C511,10657.3
2018-06-29,-0.13675873417721532,=C511-C512,10714.3
2018-06-28,-0.12287671568627463,=C512-C513,10589.1
2018-06-27,-0.18398602409638584,=C513-C514,10671.4
2018-06-26,-0.07706425120772945,=C514-C515,10769.15
2018-06-25,-0.1481151219512193,=C515-C516,10762.45
2018-06-22,-0.1334171149144255,=C516-C517,10821.85
2018-06-21,-0.1436357868020306,=C517-C518,10741.1
2018-06-20,-0.13563718592964824,=C518-C519,10772.05
2018-06-19,-0.05308746666666675,=C519-C520,10710.45
2018-06-18,0.009206136363636359,=C520-C521,10799.85
2018-06-15,-0.12140130548302887,=C521-C522,10817.7
2018-06-14,-0.17427097625329832,=C522-C523,10808.05
2018-06-13,-0.15088626373626376,=C523-C524,10856.7
2018-06-12,-0.061090267639902635,=C524-C525,10842.85
2018-06-11,-0.08394947643979034,=C525-C526,10786.95
2018-06-08,-0.16807760814249384,=C526-C527,10767.65
2018-06-07,-0.1498959568733153,=C527-C528,10768.35
2018-06-06,-0.13663638814016174,=C528-C529,10684.65
2018-06-05,-0.14483280839895016,=C529-C530,10593.15
2018-06-04,-0.10260732984293178,=C530-C531,10628.5
2018-06-01,-0.13067051597051593,=C531-C532,10696.2
2018-05-31,-0.13993783783783775,=C532-C533,10736.15
2018-05-30,-0.14329334975369448,=C533-C534,10614.35
2018-05-29,-0.10358776041666683,=C534-C535,10633.3
2018-05-28,-0.1201674540682415,=C535-C536,10688.65
2018-05-25,-0.12633801020408167,=C536-C537,10605.15
2018-05-24,-0.14218123249299724,=C537-C538,10513.85
2018-05-23,-0.15231825192802073,=C538-C539,10430.35
2018-05-22,-0.15326641975308652,=C539-C540,10536.7
2018-05-21,-0.11165839793281669,=C540-C541,10516.7
2018-05-18,-0.15468797814207655,=C541-C542,10596.4
2018-05-17,-0.12928708010335946,=C542-C543,10682.7
2018-05-16,-0.13256005291005274,=C543-C544,10741.1
2018-05-15,-0.14472335958005259,=C544-C545,10801.85
2018-05-14,-0.13591978891820583,=C545-C546,10806.6
2018-05-11,-0.21037446236559143,=C546-C547,10806.5
2018-05-10,-0.16115763157894744,=C547-C548,10716.55
2018-05-09,-0.14288750000000017,=C548-C549,10741.7
2018-05-08,-0.1107310880829018,=C549-C550,10717.8
2018-05-07,-0.08833580562659842,=C550-C551,10715.5
2018-05-04,-0.14847637231503588,=C551-C552,10618.25
2018-05-03,-0.1518762376237625,=C552-C553,10679.65
2018-05-02,-0.09234502617801053,=C553-C554,10718.05
2018-04-30,-0.09497222222222232,=C554-C555,10739.35
2018-04-27,-0.09796167512690364,=C555-C556,10692.3
2018-04-26,-0.18186836461126013,=C556-C557,10617.8
2018-04-25,-0.19203661616161646,=C557-C558,10570.55
2018-04-24,-0.13796755319148962,=C558-C559,10614.35
